,created_at,author_id,id,text,edit_history_tweet_ids
0,2022-11-30T01:33:03.000Z,2303751216,1597765619784482816,Tracking Trump's favorability with Americans: https://t.co/uTkom8rsRY,['1597765619784482816']
1,2022-11-30T00:40:07.000Z,2303751216,1597752297429377024,"The best NBA players, according to RAPTOR https://t.co/gpDXO11sGm",['1597752297429377024']
2,2022-11-30T00:07:04.000Z,2303751216,1597743982234189827,"The best NBA players, according to RAPTOR https://t.co/Q71opJFd3n",['1597743982234189827']
3,2022-11-29T23:45:09.000Z,2303751216,1597738467114602498,"We saw a pattern in the midterms: When election deniers ran for offices that have significant oversight over elections themselves, voters rejected them. https://t.co/k6WODQzYCd",['1597738467114602498']
4,2022-11-29T23:21:02.000Z,2303751216,1597732395050049536,The World Cup's new high-tech ball will change soccer forever https://t.co/F4oZzDUtga,['1597732395050049536']
5,2022-11-29T22:50:02.000Z,2303751216,1597724597264285697,Our #WorldCup predictions: https://t.co/CBzlLiS9PB,['1597724597264285697']
6,2022-11-29T22:12:03.000Z,2303751216,1597715036004294656,Most personality quizzes are junk science. Take one that isn’t. https://t.co/Ly90jMJHSC,['1597715036004294656']
7,2022-11-29T22:00:18.000Z,2303751216,1597712080932593666,"With our model as a guide, let’s hop aboard the rollercoaster of possibilities for the ninth iteration of college football’s most exclusive annual attraction. https://t.co/fsCR5ONvMn",['1597712080932593666']
8,2022-11-29T21:46:00.000Z,2303751216,1597708482408497159,Election denial is alive and well and still capable of rearing its ugly head in 2024. https://t.co/2IPJ8e7H4f,['1597708482408497159']
9,2022-11-29T21:18:02.000Z,2303751216,1597701443657547777,Our NFL predictions: https://t.co/ri2ZEE4lli,['1597701443657547777']
10,2022-11-29T20:48:06.000Z,2303751216,1597693910289104897,How the midterms made state governments bluer: https://t.co/vi480uMuuY https://t.co/Cyg3umgTub,['1597693910289104897']
11,2022-11-29T20:17:04.000Z,2303751216,1597686098385420288,Our college football predictions: https://t.co/8Y20Psz0dz,['1597686098385420288']
12,2022-11-29T19:45:08.000Z,2303751216,1597678063881539584,Take our quiz to find the best player for you in 2022. https://t.co/x3FKH6RCSC,['1597678063881539584']
13,2022-11-29T19:23:06.000Z,2303751216,1597672520492130305,"When democracy was on the ballot in 2022, voters usually chose it https://t.co/nGXI11aMBc",['1597672520492130305']
14,2022-11-29T18:50:04.000Z,2303751216,1597664205616066561,Here’s where House candidates outperformed their district’s partisanship:  https://t.co/dEFZw5AiU1,['1597664205616066561']
15,2022-11-29T18:14:03.000Z,2303751216,1597655142031130625,Our NHL predictions: https://t.co/QtdXxEazMh,['1597655142031130625']
16,2022-11-29T17:55:07.000Z,2303751216,1597650377079504897,Can you solve this pizza puzzle? https://t.co/82njN8kV7T,['1597650377079504897']
17,2022-11-29T17:08:59.000Z,2303751216,1597638766956625920,"All tournament long, match balls will contain a sensor that collects spatial positioning data in real time — the first World Cup to employ such a ball-tracking mechanism. https://t.co/PvqmpfG6Gy",['1597638766956625920']
18,2022-11-29T16:23:15.000Z,2303751216,1597627259992641537,College football's top playoff contenders can win their way in. Chaos awaits if they don't. https://t.co/dDZBjAjclh,['1597627259992641537']
19,2022-11-29T15:52:52.000Z,2303751216,1597619613013090305,The crew’s first post-midterm 2024 Democratic primary draft: https://t.co/Boe8voKHNg,['1597619613013090305']
20,2022-11-29T15:27:28.000Z,2303751216,1597613218041675776,What can the 2022 midterms tell us about 2024? https://t.co/dllIoGh7sC,['1597613218041675776']
21,2022-11-29T14:54:06.000Z,2303751216,1597604822873739266,"When democracy was on the ballot in 2022, voters usually chose it — or at least rejected candidates who denied the legitimacy of the 2020 election.
https://t.co/2bOekXqNku",['1597604822873739266']
